pais,uf,cidade,id
BRASIL,PR,Palmas,1
BRASIL,PR,Palmas,2
BRASIL,PR,Cel. Domingos Soares,3
BRASIL,PR,Palmas,4
BRASIL,PR,Palmas,5
BRASIL,PR,Cel. Domingos Soares,6
BRASIL,PR,Cel. Domingos Soares,7
BRASIL,PR,Palmas,8
BRASIL,PR,Palmas,9
BRASIL,PR,Palmas,10
BRASIL,PR,Palmas,11
BRASIL,PR,Cel. Domingos Soares,12
BRASIL,PR,Palmas,13
BRASIL,PR,Cel. Domingos Soares,14
BRASIL,PR,Cel. Domingos Soares,15
BRASIL,PR,Palmas,16
BRASIL,PR,Palmas,17
BRASIL,PR,Cel. Domingos Soares,18
BRASIL,PR,Cel. Domingos Soares,19
BRASIL,PR,Palmas,20
BRASIL,PR,Palmas,21
BRASIL,PR,Palmas,22
BRASIL,PR,Palmas,23
BRASIL,PR,Palmas,24
BRASIL,PR,Cel. Domingos Soares,25
BRASIL,PR,Palmas,26
BRASIL,PR,Cel. Domingos Soares,27
BRASIL,PR,Cel. Domingos Soares,28
BRASIL,PR,Palmas,29
BRASIL,PR,Palmas,30
BRASIL,PR,Cel. Domingos Soares,31
BRASIL,PR,Palmas,32
BRASIL,PR,Palmas,33
BRASIL,PR,Cel. Domingos Soares,34
BRASIL,PR,Cel. Domingos Soares,35
BRASIL,PB,Juarez Távora,36
BRASIL,PB,Juarez Távora,37
BRASIL,PB,Juarez Távora,38
BRASIL,PB,Juarez Távora,39
BRASIL,PB,Juarez Távora,40
BRASIL,PB,Juarez Távora,41
BRASIL,PB,Juarez Távora,42
BRASIL,PB,Juarez Távora,43
BRASIL,PB,Juarez Távora,44
BRASIL,PB,Juarez Távora,45
BRASIL,PB,Juarez Távora,46
BRASIL,PB,Juarez Távora,47
BRASIL,PB,Juarez Távora,48
BRASIL,PB,Juarez Távora,49
BRASIL,PB,Juarez Távora,50
BRASIL,PB,Juarez Távora,51
BRASIL,PB,Juarez Távora,52
BRASIL,PB,Juarez Távora,53
BRASIL,PB,Juarez Távora,54
BRASIL,PB,Juarez Távora,55
BRASIL,PB,Juarez Távora,56
BRASIL,PB,Juarez Távora,57
BRASIL,MG,Bocaina de Minas,58
BRASIL,MG,Ouro Preto,59
BRASIL,MG,Jaguaraçu,60
BRASIL,MG,Ouro Preto,61
BRASIL,MG,Itabirito,62
BRASIL,PA,Porto Trombetas,63
BRASIL,PA,Porto Trombetas,64
BRASIL,PA,Abaetetuba,65
BRASIL,PA,Porto Trombetas,66
BRASIL,PA,Porto Trombetas,67
BRASIL,PA,Porto Trombetas,68
BRASIL,PA,Porto Trombetas,69
BRASIL,PA,Porto Trombetas,70
BRASIL,PA,ORIXIMINÁ,71
BRASIL,PA,ORIXIMINÁ,72
BRASIL,PA,Porto Trombetas,73
BRASIL,PA,Porto Trombetas,74
BRASIL,PR,Santa Maria do Oeste,75
BRASIL,PR,Turvo,76
BRASIL,RS,Nova Pádua,77
BRASIL,RS,Caxias do Sul,78
BRASIL,RS,São Marcos,79
BRASIL,RS,Flores da Cunha,80
BRASIL,RS,Nova Pádua,81
BRASIL,RS,Nova Pádua,82
BRASIL,RS,Flores da Cunha,83
BRASIL,RS,Caxias do Sul,84
BRASIL,RS,Farroupilha,85
BRASIL,RS,Caxias do Sul,86
BRASIL,RS,São Marcos,87
BRASIL,RS,Flores da Cunha,88
BRASIL,RS,Caxias do Sul,89
BRASIL,RS,Caxias do Sul,90
BRASIL,RS,São Marcos,91
BRASIL,RS,Caxias do Sul,92
BRASIL,RS,Caxias do Sul,93
BRASIL,RS,Flores da Cunha,94
BRASIL,RS,Caxias do Sul,95
BRASIL,RS,Caxias do Sul,96
BRASIL,RS,Encruzilhada do Sul,97
BRASIL,RS,Caxias do Sul,98
BRASIL,RS,Caxias do Sul,99
BRASIL,RS,Flores da Cunha,100
BRASIL,RS,Farroupilha,101
BRASIL,RS,Antônio Prado,102
BRASIL,RS,Flores da Cunha,103
BRASIL,RS,Cotiporã,104
BRASIL,RS,Cotiporã,105
BRASIL,RS,Caxias do Sul,106
BRASIL,RS,Caxias do Sul,107
BRASIL,RS,São Francisco de Paula,108
BRASIL,RS,São Marcos,109
BRASIL,RS,Caxias do Sul,110
BRASIL,RS,Farroupilha,111
BRASIL,RS,Fazenda Souza,112
BRASIL,RS,Flores da Cunha,113
BRASIL,RS,São Marcos,114
BRASIL,RS,Vila Seca,115
BRASIL,RS,Campestre da Serra,116
BRASIL,RS,São Marcos,117
BRASIL,RS,São Marcos,118
BRASIL,RS,Caxias do Sul,119
BRASIL,RS,Flores da Cunha,120
BRASIL,RS,Caxias do Sul,121
BRASIL,RS,Farroupilha,122
BRASIL,RS,Boa Vista do Sul,123
BRASIL,RS,São Marcos,124
BRASIL,RS,Caxias do Sul,125
BRASIL,RS,Flores da Cunha,126
BRASIL,RS,Flores da Cunha,127
BRASIL,SC,Anitápolis,128
BRASIL,SC,Anitápolis,129
BRASIL,BA,Caldeirão Grande,130
BRASIL,BA,Caldeirão Grande,131
BRASIL,BA,Caldeirão Grande,132
BRASIL,BA,Caldeirão Grande,133
BRASIL,BA,Caldeirão Grande,134
BRASIL,BA,Caldeirão Grande,135
BRASIL,BA,Caldeirão Grande,136
BRASIL,BA,Caldeirão Grande,137
BRASIL,BA,Caldeirão Grande,138
BRASIL,BA,Caldeirão Grande,139
BRASIL,BA,Caldeirão Grande,140
BRASIL,BA,Caldeirão Grande,141
BRASIL,BA,Caldeirão Grande,142
BRASIL,BA,Caldeirão Grande,143
BRASIL,BA,Caldeirão Grande,144
BRASIL,BA,Caldeirão Grande,145
BRASIL,BA,Caldeirão Grande,146
BRASIL,BA,Caldeirão Grande,147
BRASIL,BA,Caldeirão Grande,148
BRASIL,BA,Caldeirão Grande,149
BRASIL,BA,Caldeirão Grande,150
BRASIL,BA,Caldeirão Grande,151
BRASIL,BA,Caldeirão Grande,152
BRASIL,BA,Caldeirão Grande,153
BRASIL,BA,Caldeirão Grande,154
BRASIL,BA,Caldeirão Grande,155
BRASIL,BA,Caldeirão Grande,156
BRASIL,BA,Caldeirão Grande,157
BRASIL,BA,Caldeirão Grande,158
BRASIL,BA,Caldeirão Grande,159
BRASIL,BA,Caldeirão Grande,160
BRASIL,BA,Caldeirão Grande,161
BRASIL,BA,Caldeirão Grande,162
BRASIL,BA,Caldeirão Grande,163
BRASIL,BA,Caldeirão Grande,164
BRASIL,BA,Caldeirão Grande,165
BRASIL,BA,Caldeirão Grande,166
BRASIL,BA,Caldeirão Grande,167
BRASIL,RS,Pinto Bandeira,168
BRASIL,RS,Garibaldi,169
BRASIL,CE,Beberibe,170
BRASIL,CE,Beberibe,171
BRASIL,CE,Bela Cruz,172
BRASIL,CE,Cascavel,173
BRASIL,CE,Beberibe,174
BRASIL,CE,Bela Cruz,175
BRASIL,CE,Cascavel,176
BRASIL,SP,GUARULHOS,177
BRASIL,SP,GUARULHOS,178
BRASIL,PE,QUIPAPÁ,179
BRASIL,SP,BOTUCATU,180
BRASIL,SC,Leoberto Leal,181
BRASIL,SP,SOROCABA,182
ITÁLIA,ITÁLIA,SAN MARTINO IN PENSIILIS,183
ITÁLIA,ITÁLIA,BADIA POLESINE,184
